iter	Passed	Remaining
0	142	141941
1	150	74877
2	151	50397
3	153	38120
4	154	30747
5	155	25835
6	157	22357
7	164	20431
8	169	18616
9	170	16901
10	172	15479
11	173	14293
12	175	13321
13	176	12459
14	178	11734
15	181	11163
16	183	10625
17	186	10172
18	188	9732
19	190	9339
20	192	8970
21	193	8602
22	200	8521
23	202	8218
24	203	7937
25	204	7678
26	206	7438
27	207	7214
28	209	7006
29	216	7000
30	218	6814
31	219	6638
32	220	6472
33	222	6316
34	223	6169
35	225	6030
36	232	6058
37	234	5930
38	235	5807
39	237	5690
40	238	5579
41	239	5473
42	246	5480
43	250	5441
44	252	5364
45	254	5273
46	255	5185
47	262	5205
48	264	5126
49	265	5046
50	267	4968
51	268	4894
52	269	4822
53	271	4753
54	278	4778
55	279	4714
56	281	4650
57	282	4588
58	283	4529
59	285	4471
60	286	4415
61	293	4441
62	295	4389
63	296	4337
64	298	4286
65	299	4237
66	300	4189
67	302	4143
68	303	4098
69	305	4060
70	307	4018
71	308	3976
72	309	3935
73	311	3896
74	313	3864
75	314	3827
76	316	3797
77	318	3762
78	319	3727
79	321	3693
80	325	3694
81	329	3692
82	332	3669
83	333	3639
84	335	3607
85	341	3632
86	343	3603
87	344	3573
88	346	3546
89	347	3517
90	349	3489
91	350	3461
92	352	3434
93	358	3459
94	360	3432
95	361	3407
96	363	3381
97	364	3356
98	365	3328
99	367	3303
100	373	3327
101	375	3305
102	376	3282
103	378	3259
104	379	3237
105	381	3215
106	382	3193
107	384	3171
108	390	3195
109	392	3176
110	394	3155
111	395	3135
112	396	3115
113	398	3095
114	399	3075
115	406	3100
116	408	3081
117	409	3062
118	411	3043
119	412	3025
120	414	3007
121	415	2989
122	423	3016
123	427	3017
124	428	3000
125	430	2983
126	431	2966
127	438	2986
128	439	2969
129	441	2953
130	442	2936
131	444	2920
132	445	2904
133	446	2888
134	454	2909
135	458	2912
136	460	2902
137	462	2890
138	470	2913
139	472	2902
140	474	2889
141	476	2877
142	477	2858
143	478	2846
144	485	2865
145	488	2856
146	489	2841
147	491	2827
148	492	2813
149	493	2799
150	495	2785
151	501	2798
152	503	2786
153	504	2773
154	506	2760
155	507	2746
156	509	2733
157	510	2720
158	521	2759
159	524	2752
160	525	2736
161	526	2721
162	533	2739
163	535	2728
164	537	2719
165	550	2767
166	553	2758
167	555	2749
168	590	2902
169	591	2890
170	598	2902
171	599	2886
172	601	2873
173	601	2856
174	603	2843
175	604	2831
176	606	2818
177	607	2805
178	608	2792
179	616	2807
180	617	2793
181	618	2781
182	620	2769
183	621	2757
184	622	2742
185	623	2730
186	630	2740
187	632	2732
188	637	2734
189	638	2723
190	640	2711
191	647	2722
192	647	2708
193	649	2696
194	649	2682
195	650	2668
196	651	2654
197	652	2643
198	653	2629
199	653	2615
200	655	2604
201	662	2617
202	664	2607
203	666	2601
204	670	2601
205	671	2588
206	680	2606
207	682	2597
208	683	2586
209	684	2575
210	685	2564
211	687	2554
212	688	2542
213	695	2553
214	695	2541
215	696	2528
216	698	2519
217	698	2506
218	700	2496
219	700	2484
220	702	2475
221	703	2463
222	709	2471
223	711	2465
224	712	2454
225	713	2442
226	714	2431
227	715	2422
228	717	2414
229	717	2402
230	719	2393
231	719	2382
232	726	2391
233	727	2381
234	728	2372
235	729	2361
236	730	2350
237	731	2342
238	732	2331
239	733	2322
240	734	2313
241	735	2302
242	740	2307
243	745	2310
244	746	2300
245	747	2289
246	747	2279
247	748	2269
248	748	2258
249	749	2248
250	750	2240
251	758	2251
252	759	2242
253	760	2234
254	762	2226
255	763	2219
256	765	2211
257	765	2202
258	766	2192
259	766	2182
260	774	2192
261	775	2184
262	776	2175
263	776	2165
264	778	2158
265	779	2151
266	781	2144
267	781	2134
268	788	2142
269	789	2135
270	790	2127
271	792	2120
272	792	2111
273	793	2102
274	794	2095
275	796	2089
276	797	2082
277	804	2089
278	806	2083
279	807	2076
280	809	2070
281	809	2061
282	811	2057
283	813	2051
284	823	2065
285	824	2059
286	826	2053
287	827	2046
288	829	2040
289	829	2031
290	836	2037
291	840	2038
292	841	2030
293	843	2024
294	844	2018
295	845	2010
